,,,,,,,,MEDIAN PRICE,,MEDIAN QUARTERLY,,MEDIAN 12 MONTH,,MEDIAN 3 YEARS,,MEDIAN 5 YEARS,,10 YEARS AVERAGE ANNUAL,,Weekly media advert. rent,,Time on Market,,Gross Rental Yield Percent,,,,,,,,,,,
SUBURBS,STATE,POSTCODE,,,DISTANCE FROM CBD (KM),POPULATION,5 YEAR CHANGE,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,HOUSE,HOUSE,HOUSE,WEEKLY HOUSEHOLD INCOME MEDIAN,WEEKLY GROSS HOUSEHOLD INCOME MEAN,WEEKLY NET MEAN INCOME,HHOLD SIZE,OCCUPATION,AGE,MONTHLY LOAN REPAYMENT,20% Deposit,Current Savings Rate,Numbers of years (Based on Savings Rate)
Grindelwald,TAS,7277,https://www.smartpropertyinvestment.com.au/data/tas/7277/grindelwald,,,,,"$821,000",,5.12%,,1.48%,,-7.02%,,39.15%,,7.32%,,N/A,,N/A,,0.00%,,1324,"$1,227","$1,011",2.6,17.1%,44,1452,"$164,200","$5,259",31
Glanville,SA,5015,https://www.smartpropertyinvestment.com.au/data/sa/5015/glanville,,,,,"$821,000",,2.50%,,0.00%,,33.50%,,0.00%,,10.88%,,$588,,N/A,,3.72%,,1134,"$1,307","$1,066",2.1,44.0%,41,1500,"$164,200","$5,544",30
Tuart Hill,WA,6060,https://www.smartpropertyinvestment.com.au/data/wa/6060/tuart-hill,,,,,"$822,449",,6.81%,,15.03%,,28.51%,,64.49%,,3.72%,,$695,,16.7 days,,4.39%,,1420,"$1,428","$1,148",2.1,58.1%,36,1950,"$164,490","$5,971",28
Daylesford,VIC,3460,,,89,"3,000",9.00%,"$822,500",,-2.66%,N/A,-7.58%,N/A,-8.10%,N/A,28.02%,N/A,7.48%,N/A,$505,,131.7 days,131.7 days,3.19%,3.19%,928,"$1,185",$983,2,20.3%,53,1377,"$164,500","$5,111",32
Seaford,VIC,3198,,,36,"17,000",5.00%,"$822,500",,-0.90%,$0,-3.52%,$0,-7.58%,$0,22.76%,$0,6.54%,$0,$580,,48.3 days,48.3 days,3.67%,3.67%,1208,"$1,297","$1,059",2.2,,40,1600,"$164,500","$5,508",30
Ethelton,SA,5015,https://www.smartpropertyinvestment.com.au/data/sa/5015/ethelton,,,,,"$822,500",,4.72%,,12.25%,,25.57%,,89.08%,,8.30%,,$640,,N/A,,4.05%,,1134,"$1,307","$1,066",2.1,34.8%,41,1500,"$164,500","$5,544",30
Blackmans Bay,TAS,7052,https://www.smartpropertyinvestment.com.au/data/tas/7052/blackmans-bay,,,,,"$822,500",,-2.89%,,-7.58%,,-4.63%,,35.28%,,7.52%,,$580,,70.4 days,,3.67%,,1443,"$1,336","$1,086",2.6,32.2%,42,1517,"$164,500","$5,646",29
Gwandalan,NSW,2259,,,87,"4,000",16.00%,"$822,650",,3.48%,N/A,2.83%,N/A,6.15%,N/A,76.91%,N/A,9.32%,N/A,$630,,61.4 days,61.4 days,3.98%,3.98%,1285,"$1,224","$1,010",2.7,30.3%,40,1733,"$164,530","$5,251",31
Alice River,QLD,4817,,,,,,"$822,750",,1.57%,N/A,6.85%,N/A,30.60%,N/A,65.38%,N/A,5.12%,N/A,N/A,,35.1 days,35.1 days,0.00%,0.00%,1478,"$1,311","$1,068",3.3,24.8%,34,1300,"$164,550","$5,556",30
Two Wells,SA,5501,https://www.smartpropertyinvestment.com.au/data/sa/5501/two-wells,,,,,"$823,500",,4.24%,,13.47%,,43.84%,,100.85%,,8.76%,,$635,,51.2 days,,4.01%,,1326,"$1,227","$1,012",2.7,13.3%,41,1500,"$164,700","$5,260",31
East Deep Creek,QLD,4570,,,,,,"$824,500",,-4.90%,,-2.02%,,37.42%,,0.00%,,19.13%,,N/A,,N/A,N/A,0.00%,0.00%,835.1,"$1,035",$881,2.7,0.0%,38,975,"$164,900","$4,580",36
Narooma,NSW,2546,,,285,"3,000",5.00%,"$825,000",,1.85%,$0,7.14%,$0,-9.59%,$0,46.02%,$1,8.80%,$0,$485,,123.7 days,123.7 days,3.06%,3.06%,848,$998,$856,2.1,3.7%,58,1300,"$165,000","$4,450",37
Smiths Lake,NSW,2428,,,,,,"$825,000",,0.00%,N/A,2.48%,N/A,10.00%,N/A,70.10%,N/A,9.20%,N/A,$595,,123.8 days,123.8 days,3.75%,3.75%,832,"$1,059",$897,2.1,10.3%,56,1400,"$165,000","$4,665",35
Dunwich,QLD,4183,,,37,737,15.00%,"$825,000",,0.00%,,0.00%,,21.32%,,0.00%,,6.43%,,N/A,,N/A,N/A,0.00%,0.00%,881.9,"$1,075",$908,2.4,20.0%,37,1350,"$165,000","$4,724",35
Parkwood,WA,6147,https://www.smartpropertyinvestment.com.au/data/wa/6147/parkwood,,,,,"$825,000",,3.13%,,19.57%,,57.14%,,96.43%,,5.44%,,$683,,23.2 days,,4.30%,,1352,"$1,157",$964,2.7,,35,1700,"$165,000","$5,011",33
Bahrs Scrub,QLD,4207,,,,,,"$825,000",,1.85%,N/A,11.11%,N/A,36.36%,N/A,85.39%,N/A,5.96%,N/A,$650,,39.8 days,39.8 days,4.10%,4.10%,1454,"$1,167",$971,3.2,41.1%,34,1290,"$165,000","$5,047",33
Woodside,SA,5244,https://www.smartpropertyinvestment.com.au/data/sa/5244/woodside,,,,,"$825,000",,2.04%,,8.47%,,98.80%,,89.66%,,9.09%,,$550,,48.4 days,,3.47%,,1394,"$1,271","$1,041",2.6,,43,1541,"$165,000","$5,415",30
Bray Park,QLD,4500,,,,,,"$825,000",,2.36%,N/A,14.03%,N/A,24.76%,N/A,87.50%,N/A,8.59%,N/A,$625,,18.7 days,18.7 days,3.94%,3.94%,1145,"$1,307","$1,066",2.9,,33,1200,"$165,000","$5,543",30
Forrestdale,WA,6112,https://www.smartpropertyinvestment.com.au/data/wa/6112/forrestdale,,,,,"$825,000",,-4.07%,,18.28%,,30.95%,,0.00%,,23.79%,,$710,,41.2 days,,4.48%,,1552,"$1,360","$1,102",2.8,20.0%,32,1989,"$165,000","$5,731",29
Calwell,ACT,2905,https://www.smartpropertyinvestment.com.au/data/act/2905/calwell,,,,,"$825,000",,-1.79%,,2.64%,,-3.23%,,42.24%,,5.56%,,$660,,58.4 days,,4.16%,,2040,"$1,466","$1,174",2.7,20.5%,35,2000,"$165,000","$6,104",27
Florey,ACT,2615,https://www.smartpropertyinvestment.com.au/data/act/2615/florey,,,,,"$825,500",,-8.28%,,-8.12%,,-16.19%,,21.31%,,7.00%,,$630,,38.1 days,,3.97%,,1911,"$1,456","$1,167",2.7,23.9%,35,2000,"$165,100","$6,070",27
Aberfoyle Park,SA,5159,https://www.smartpropertyinvestment.com.au/data/sa/5159/aberfoyle-park,,,,,"$826,000",,5.63%,,15.52%,,42.41%,,92.09%,,7.75%,,$580,,35 days,,3.65%,,1540,"$1,246","$1,024",2.7,28.7%,41,1561,"$165,200","$5,327",31
Balcatta,WA,6021,https://www.smartpropertyinvestment.com.au/data/wa/6021/balcatta,,,,,"$826,000",,4.56%,,13.42%,,44.79%,,81.14%,,4.65%,,$750,,27 days,,4.72%,,1570,"$1,533","$1,220",2.5,43.1%,39,2000,"$165,200","$6,343",26
Buttaba,NSW,2283,,,96,"1,000",9.00%,"$827,500",,0.91%,N/A,-1.78%,N/A,18.21%,N/A,65.50%,N/A,8.74%,N/A,$680,,66.7 days,66.7 days,4.27%,4.27%,1225,"$1,297","$1,059",2.5,19.0%,46,1733,"$165,500","$5,508",30
Cawarral,QLD,4702,,,525,831,,"$827,500",,2.16%,N/A,27.31%,N/A,66.33%,N/A,120.67%,N/A,12.91%,N/A,N/A,,35.9 days,35.9 days,0.00%,0.00%,1032,"$1,304","$1,064",2.8,0.0%,40,910,"$165,500","$5,533",30
Coldstream,VIC,3770,,,41,"2,000",2.00%,"$827,500",,2.16%,N/A,3.12%,N/A,3.83%,N/A,27.50%,N/A,7.53%,N/A,$600,,12.8 days,12.8 days,3.77%,3.77%,1646,"$1,528","$1,216",2.9,,40,1649,"$165,500","$6,324",26
Nowra,NSW,2541,,,126,"1,000",8.00%,"$827,750",,-0.21%,$0,-3.75%,$0,8.20%,$0,45.22%,$0,8.03%,$0,$660,,91.1 days,91.1 days,4.15%,4.15%,971,"$1,154",$962,2.3,19.1%,42,1500,"$165,550","$5,002",33
South Nowra,NSW,2541,,,,,,"$827,750",,-0.21%,$0,-3.75%,$0,8.20%,$0,45.22%,$0,8.03%,$0,$660,,91.1 days,91.1 days,4.15%,4.15%,971,"$1,154",$962,2.3,20.5%,42,1500,"$165,550","$5,002",33
Boambee,NSW,2450,,,429,"2,000",6.00%,"$828,000",,-0.12%,N/A,-9.26%,N/A,-4.33%,N/A,34.09%,N/A,5.60%,N/A,$660,,77.7 days,77.7 days,4.14%,4.14%,1140,"$1,190",$986,2.5,13.6%,44,1636,"$165,600","$5,130",32
North Boambee Valley,NSW,2450,,,,,,"$828,000",,-0.12%,N/A,-9.26%,N/A,-4.33%,N/A,34.09%,N/A,5.60%,N/A,$660,,77.7 days,77.7 days,4.14%,4.14%,1140,"$1,190",$986,2.5,0.0%,44,1636,"$165,600","$5,130",32
Tea Tree Gully,SA,5091,https://www.smartpropertyinvestment.com.au/data/sa/5091/tea-tree-gully,,,,,"$828,556",,0.17%,,11.82%,,27.96%,,82.10%,,9.47%,,$550,,39.2 days,,3.45%,,1439,"$1,251","$1,028",2.6,37.8%,42,1560,"$165,711","$5,345",31
Yackandandah,VIC,3749,,,237,"2,000",11.00%,"$829,000",,1.10%,,0.00%,,31.59%,,54.23%,,12.12%,,$485,,110 days,110 days,3.04%,3.04%,1383,"$1,200",$993,2.5,20.8%,48,1560,"$165,800","$5,163",32
Dalmeny,NSW,2546,,,275,"2,000",13.00%,"$830,000",,9.93%,N/A,18.74%,N/A,6.41%,N/A,69.39%,N/A,10.19%,N/A,$620,,92.2 days,92.2 days,3.88%,3.88%,848,$998,$856,2.1,0.0%,58,1300,"$166,000","$4,450",37
Emerton,NSW,2770,,,39,"2,000",2.00%,"$830,000",,2.79%,N/A,7.10%,N/A,22.06%,N/A,74.74%,N/A,8.19%,N/A,$500,,56.4 days,56.4 days,3.13%,3.13%,1159,"$1,038",$883,3.1,29.6%,31,1700,"$166,000","$4,590",36
Hope Valley,SA,5090,https://www.smartpropertyinvestment.com.au/data/sa/5090/hope-valley,,,,,"$830,000",,3.75%,,23.88%,,50.09%,,100.00%,,8.70%,,$600,,53.3 days,,3.76%,,1081,"$1,117",$937,2.3,,47,1500,"$166,000","$4,870",34
Innes Park,QLD,4670,,,,,,"$830,000",,2.15%,N/A,10.67%,N/A,41.28%,N/A,137.14%,N/A,9.35%,N/A,$680,,57.4 days,57.4 days,4.26%,4.26%,897.4,"$1,138",$951,2.7,14.1%,38,1100,"$166,000","$4,946",34
Berrinba,QLD,4117,,,21,"3,000",94.00%,"$830,000",,0.00%,$0,11.78%,$0,53.70%,$0,92.58%,$0,7.53%,$0,$620,,36.4 days,36.4 days,3.88%,3.88%,1019,"$1,159",$966,2.4,15.6%,47,650,"$166,000","$5,021",33
Hawley Beach,TAS,7307,https://www.smartpropertyinvestment.com.au/data/tas/7307/hawley-beach,,,,,"$830,000",,1.84%,,0.00%,,20.29%,,44.47%,,9.16%,,$600,,N/A,,3.76%,,1067,"$1,178",$978,2.3,13.3%,47,1300,"$166,000","$5,085",33
Mount Clarence,WA,6330,https://www.smartpropertyinvestment.com.au/data/wa/6330/mount-clarence,,,,,"$830,000",,4.14%,,36.63%,,43.10%,,78.49%,,6.46%,,N/A,,63 days,,0.00%,,1208,"$1,207",$998,2.4,0.0%,43,1603,"$166,000","$5,189",32
Holmesville,NSW,2286,,,110,"1,000",4.00%,"$830,000",,2.47%,N/A,6.41%,N/A,16.66%,N/A,67.68%,N/A,7.88%,N/A,$650,,54.2 days,54.2 days,4.07%,4.07%,1323,"$1,230","$1,013",2.7,12.5%,38,1625,"$166,000","$5,269",32
Seville,VIC,3139,,,45,"3,000",8.00%,"$830,000",,5.60%,N/A,-2.47%,N/A,1.84%,N/A,19.77%,N/A,6.69%,N/A,N/A,,52.2 days,52.2 days,0.00%,0.00%,n.a.,"$1,232","$1,015",n.a.,31.0%,n.a.,n.a.,"$166,000","$5,279",31
Avondale,NSW,2530,https://www.realestate.com.au/nsw/avondale-2530/,,86,"2,000",3.00%,"$830,000",,,,,,,,,,,,,,,,,,,"$1,278","$1,046",,,,,"$166,000","$5,438",31
Woodford,NSW,2778,,,69,"2,000",1.00%,"$830,000",,1.47%,N/A,3.75%,N/A,-2.47%,N/A,29.28%,N/A,7.14%,N/A,$600,,71.5 days,71.5 days,3.76%,3.76%,1159,"$1,294","$1,057",2.7,,38,1500,"$166,000","$5,495",30
Birkenhead,SA,5015,https://www.smartpropertyinvestment.com.au/data/sa/5015/birkenhead,,,,,"$830,000",,2.34%,,10.01%,,37.19%,,92.35%,,8.57%,,$550,,54 days,,3.45%,,1134,"$1,307","$1,066",2.1,34.5%,41,1500,"$166,000","$5,544",30
Mundijong,WA,6123,https://www.smartpropertyinvestment.com.au/data/wa/6123/mundijong,,,,,"$830,000",,6.41%,,29.69%,,71.13%,,97.62%,,7.74%,,N/A,,29.3 days,,0.00%,,1562,"$1,420","$1,143",2.8,30.0%,36,2000,"$166,000","$5,942",28
Holt,ACT,2615,https://www.smartpropertyinvestment.com.au/data/act/2615/holt,,,,,"$830,000",,-0.60%,,8.21%,,4.40%,,44.35%,,7.23%,,$630,,51.5 days,,3.95%,,1911,"$1,456","$1,167",2.7,36.4%,35,2000,"$166,000","$6,070",27
Beeliar,WA,6164,https://www.smartpropertyinvestment.com.au/data/wa/6164/beeliar,,,,,"$830,000",,0.00%,,13.70%,,40.68%,,71.84%,,4.50%,,$730,,21.6 days,,4.57%,,1987,"$1,510","$1,204",2.9,44.3%,32,2145,"$166,000","$6,259",27
Hill Top,NSW,2575,,,,,,"$830,000",,0.30%,N/A,10.67%,N/A,7.10%,N/A,50.91%,N/A,8.31%,N/A,$610,,70 days,70 days,3.82%,3.82%,1002,"$1,851","$1,436",2.9,,31,1400,"$166,000","$7,466",22
Kingsbury,VIC,3083,,,13,"3,000",9.00%,"$831,500",,2.84%,$0,3.94%,$0,0.06%,$0,18.66%,$0,5.34%,$0,$530,,43.3 days,43.3 days,3.31%,3.31%,1305,"$1,216","$1,004",2.8,36.9%,34,1733,"$166,300","$5,219",32
Clearview,SA,5085,https://www.smartpropertyinvestment.com.au/data/sa/5085/clearview,,,,,"$832,250",,1.06%,,16.24%,,36.21%,,87.02%,,8.43%,,$620,,53.8 days,,3.87%,,1296,"$1,175",$976,2.5,41.2%,34,1700,"$166,450","$5,077",33
Booral,QLD,4655,,,236,"2,000",6.00%,"$832,500",,2.15%,N/A,2.15%,N/A,29.07%,N/A,105.56%,N/A,9.65%,N/A,$600,,92 days,92 days,3.75%,3.75%,817.4,"$1,095",$921,2.9,,40,1008,"$166,500","$4,792",35
Ningi,QLD,4511,,,45,"5,000",14.00%,"$832,500",,3.10%,N/A,11.37%,N/A,30.08%,N/A,80.00%,N/A,7.45%,N/A,$650,,44.1 days,44.1 days,4.06%,4.06%,950.9,"$1,103",$927,2.8,33.3%,41,1211,"$166,500","$4,822",35
Northfield,SA,5085,https://www.smartpropertyinvestment.com.au/data/sa/5085/northfield,,,,,"$832,500",,5.38%,,11.97%,,43.04%,,87.08%,,8.61%,,$620,,57.5 days,,3.87%,,1296,"$1,175",$976,2.5,42.3%,34,1700,"$166,500","$5,077",33
Jensen,QLD,4818,,,"1,122","2,000",22.00%,"$832,500",,1.22%,N/A,23.88%,N/A,52.75%,N/A,60.25%,N/A,7.28%,N/A,N/A,,31.3 days,31.3 days,0.00%,0.00%,1267,"$1,393","$1,124",3.2,14.0%,36,1040,"$166,500","$5,845",28
Caboolture,QLD,4510,,,45,"30,000",12.00%,"$832,890",,2.20%,N/A,7.47%,N/A,40.57%,N/A,98.31%,N/A,8.75%,N/A,$630,,55.1 days,55.1 days,3.93%,3.93%,1213,"$1,079",$911,3.1,18.4%,36,1300,"$166,578","$4,735",35
Upper Caboolture,QLD,4510,,,,,,"$832,890",,2.20%,N/A,7.47%,N/A,40.57%,N/A,98.31%,N/A,8.75%,N/A,$630,,55.1 days,55.1 days,3.93%,3.93%,1213,"$1,079",$911,3.1,17.0%,36,1300,"$166,578","$4,735",35
Greenwell Point,NSW,2540,,,,,,"$833,000",,4.13%,N/A,6.11%,N/A,14.90%,N/A,60.19%,N/A,7.54%,N/A,$560,,92.3 days,92.3 days,3.50%,3.50%,1024,"$1,150",$959,2.4,7.5%,48,1517,"$166,600","$4,989",33
Bellerive,TAS,7018,https://www.smartpropertyinvestment.com.au/data/tas/7018/bellerive,,,,,"$833,333",,4.17%,,1.01%,,-13.19%,,13.38%,,7.69%,,$575,,57.2 days,,3.59%,,1259,"$1,279","$1,047",2.3,35.7%,44,1500,"$166,667","$5,444",31
Beechworth,VIC,3747,,,224,"4,000",11.00%,"$834,500",,5.63%,N/A,6.99%,N/A,26.25%,N/A,67.91%,N/A,10.37%,N/A,$500,,120.6 days,120.6 days,3.12%,3.12%,1170,"$1,186",$984,2.3,20.0%,49,1428,"$166,900","$5,115",33
Bargara,QLD,4670,,,300,"9,000",19.00%,"$835,000",,-0.60%,$0,5.70%,$0,47.27%,$1,111.39%,$1,8.65%,$0,$620,,48.4 days,48.4 days,3.86%,3.86%,764.9,"$1,138",$951,2.3,23.2%,44,1108,"$167,000","$4,946",34
Boronia,VIC,3155,,,29,"24,000",6.00%,"$835,000",,0.00%,$0,-1.76%,$0,-4.02%,$0,17.69%,$0,5.32%,$0,$580,,37.6 days,37.6 days,3.61%,3.61%,1318,"$1,235","$1,017",2.4,36.6%,38,1690,"$167,000","$5,289",32
Sheidow Park,SA,5158,https://www.smartpropertyinvestment.com.au/data/sa/5158/sheidow-park,,,,,"$835,000",,1.52%,,10.82%,,33.60%,,85.56%,,7.95%,,$630,,30.1 days,,3.92%,,1593,"$1,239","$1,019",2.7,28.9%,39,1582,"$167,000","$5,301",32
Mount Evelyn,VIC,3796,,,,,,"$835,000",,0.00%,N/A,-0.12%,N/A,-7.22%,N/A,24.16%,N/A,6.77%,N/A,$580,,33.2 days,33.2 days,3.61%,3.61%,1655,"$1,296","$1,059",2.9,27.0%,37,1733,"$167,000","$5,506",30
Higgins,ACT,2615,https://www.smartpropertyinvestment.com.au/data/act/2615/higgins,,,,,"$835,000",,-0.60%,,-0.89%,,-0.89%,,40.34%,,7.13%,,$598,,50.6 days,,3.72%,,1911,"$1,456","$1,167",2.7,25.6%,35,2000,"$167,000","$6,070",28
Buxton,NSW,2571,,,76,"2,000",2.00%,"$835,000",,2.77%,N/A,3.09%,N/A,10.60%,N/A,42.74%,N/A,6.61%,N/A,$550,,55.9 days,55.9 days,3.43%,3.43%,2059,"$1,511","$1,204",3,,36,2167,"$167,000","$6,263",27
Bassendean,WA,6054,https://www.smartpropertyinvestment.com.au/data/wa/6054/bassendean,,,,,"$836,500",,2.01%,,17.82%,,39.42%,,74.27%,,4.61%,,$720,,26 days,,4.48%,,1415,"$1,408","$1,135",2.5,,38,1733,"$167,300","$5,901",28
Burrill Lake,NSW,2539,,,,,,"$837,500",,2.07%,N/A,1.76%,N/A,-8.17%,N/A,56.54%,N/A,10.89%,N/A,$550,,121.4 days,121.4 days,3.41%,3.41%,900,"$1,034",$880,2.2,10.0%,53,1430,"$167,500","$4,578",37
Redcliffe,QLD,4020,,,28,"10,000",1.00%,"$837,500",,3.40%,$0,8.06%,$0,22.26%,$0,92.53%,$1,8.51%,$0,$593,,44.3 days,44.3 days,3.68%,3.68%,681.1,"$1,389","$1,122",2.2,,42,1181,"$167,500","$5,834",29
Page,ACT,2614,https://www.smartpropertyinvestment.com.au/data/act/2614/page,,,,,"$837,500",,0.00%,,-1.53%,,-14.10%,,34.86%,,6.33%,,$620,,43 days,,3.85%,,1940,"$1,634","$1,288",2.5,28.9%,39,2058,"$167,500","$6,698",25
Kianga,NSW,2546,,,279,785,1.00%,"$838,500",,4.52%,N/A,0.12%,N/A,-14.00%,N/A,59.71%,N/A,11.02%,N/A,$660,,96 days,96 days,4.09%,4.09%,848,$998,$856,2.1,,58,1300,"$167,700","$4,450",38
Keilor Downs,VIC,3038,,,,,,"$839,000",,5.87%,$0,7.56%,$0,2.01%,$0,27.51%,$0,6.91%,$0,$550,,31.5 days,31.5 days,3.41%,3.41%,1654,"$1,296","$1,059",3,31.2%,41,1647,"$167,800","$5,504",30
Camira,QLD,4300,,,21,"7,000",,"$839,500",,2.07%,N/A,10.46%,N/A,29.15%,N/A,90.80%,N/A,9.49%,N/A,$588,,35.8 days,35.8 days,3.64%,3.64%,1170,"$1,303","$1,063",3,,33,1161,"$167,900","$5,528",30
Lake Conjola,NSW,2539,,,,,,"$840,000",,-2.33%,N/A,0.00%,N/A,-5.62%,N/A,47.95%,N/A,7.50%,N/A,N/A,,122.6 days,122.6 days,0.00%,0.00%,900,"$1,034",$880,2.2,0.0%,53,1430,"$168,000","$4,578",37
St James,WA,6102,https://www.smartpropertyinvestment.com.au/data/wa/6102/st-james,,,,,"$840,000",,0.00%,,19.15%,,48.34%,,80.65%,,4.25%,,$750,,32.2 days,,4.64%,,1050,"$1,087",$916,2.4,,31,1950,"$168,000","$4,766",35
Darnum,VIC,3822,,,102,759,1.00%,"$840,000",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,N/A,,N/A,N/A,0.00%,0.00%,1363,"$1,199",$993,2.9,0.0%,40,1500,"$168,000","$5,162",33
Wilson,WA,6107,https://www.smartpropertyinvestment.com.au/data/wa/6107/wilson,,,,,"$840,000",,2.44%,,20.86%,,41.53%,,65.35%,,4.06%,,$700,,27.6 days,,4.33%,,1469,"$1,201",$994,2.8,59.4%,32,1950,"$168,000","$5,167",33
Albany,WA,6330,https://www.smartpropertyinvestment.com.au/data/wa/6330/albany,,,,,"$840,000",,3.96%,,27.27%,,32.81%,,70.56%,,5.20%,,$580,,54.9 days,,3.59%,,1208,"$1,207",$998,2.4,25.8%,43,1603,"$168,000","$5,189",32
Blackheath,NSW,2785,,,87,"5,000",6.00%,"$840,000",,0.00%,N/A,5.66%,N/A,-4.55%,N/A,42.37%,N/A,7.80%,N/A,$580,,58.9 days,58.9 days,3.59%,3.59%,1079,"$1,234","$1,016",2.1,25.5%,51,1625,"$168,000","$5,286",32
Port Fairy,VIC,3284,,,,,,"$840,000",,1.20%,N/A,-16.21%,N/A,-26.96%,N/A,31.25%,N/A,8.39%,N/A,$520,,126.5 days,126.5 days,3.22%,3.22%,1128,"$1,257","$1,032",2.3,20.3%,49,1560,"$168,000","$5,365",31
Rhyll,VIC,3923,,,79,836,47.00%,"$840,000",,-7.69%,,0.00%,,-6.67%,,51.83%,,10.39%,,N/A,,140 days,140 days,0.00%,0.00%,924,"$1,260","$1,034",2,9.5%,58,1509,"$168,000","$5,378",31
Katoomba,NSW,2780,,,85,"8,000",4.00%,"$840,000",,-1.18%,$0,3.96%,$0,1.45%,$0,38.27%,$0,7.22%,$0,$580,,71.8 days,71.8 days,3.59%,3.59%,1046,"$1,280","$1,048",2.1,22.5%,48,1560,"$168,000","$5,448",31
Isabella Plains,ACT,2905,https://www.smartpropertyinvestment.com.au/data/act/2905/isabella-plains,,,,,"$840,000",,-0.88%,,7.97%,,2.13%,,44.21%,,6.42%,,$650,,47 days,,4.02%,,2040,"$1,466","$1,174",2.7,13.3%,35,2000,"$168,000","$6,104",28
Joondalup,WA,6027,https://www.smartpropertyinvestment.com.au/data/wa/6027/joondalup,,,,,"$840,000",,0.73%,,15.69%,,47.37%,,71.43%,,4.91%,,$650,,23 days,,4.02%,,1822,"$1,484","$1,186",2.7,39.3%,38,2000,"$168,000","$6,167",27
Belgian Gardens,QLD,4810,,,,,,"$840,500",,6.26%,$0,24.29%,$0,44.91%,$0,108.82%,$1,6.57%,$0,$550,,37.9 days,37.9 days,3.40%,3.40%,1278,"$1,574","$1,247",2.3,39.4%,38,1300,"$168,100","$6,486",26
Oakden,SA,5086,https://www.smartpropertyinvestment.com.au/data/sa/5086/oakden,,,,,"$841,500",,-0.06%,,16.88%,,20.21%,,82.93%,,8.25%,,$620,,N/A,,3.83%,,1214,"$1,150",$959,2.4,44.0%,36,1593,"$168,300","$4,988",34
Highton,VIC,3216,,,69,"21,000",9.00%,"$842,000",,-0.47%,$0,-6.55%,$0,-10.43%,$0,19.26%,$0,5.63%,$0,$550,,62.4 days,62.4 days,3.40%,3.40%,1370,"$1,318","$1,073",2.5,34.4%,38,1600,"$168,400","$5,580",30
Clifton Beach,QLD,4879,,,,,,"$842,000",,0.84%,$0,-0.50%,$0,5.91%,$1,42.71%,$0,4.81%,$0,$720,,76.6 days,76.6 days,4.45%,4.45%,1175,"$1,330","$1,081",2.6,,42,1400,"$168,400","$5,623",30
Telegraph Point,NSW,2441,,,,,,"$842,500",,8.71%,N/A,0.00%,N/A,1.94%,N/A,0.00%,N/A,-31.10%,N/A,N/A,,N/A,N/A,0.00%,0.00%,950,$971,$838,2.5,0.0%,47,1300,"$168,500","$4,356",39
Hadfield,VIC,3046,,,12,"6,000",12.00%,"$842,500",,-0.88%,$0,-0.88%,$0,-6.91%,$0,13.85%,$0,5.60%,$0,$550,,66 days,66 days,3.39%,3.39%,1296,"$1,258","$1,033",2.6,38.7%,35,1733,"$168,500","$5,369",31
Hazelbrook,NSW,2779,,,70,"5,000",2.00%,"$843,000",,0.36%,N/A,4.07%,N/A,2.00%,N/A,41.21%,N/A,7.93%,N/A,$600,,55.2 days,55.2 days,3.70%,3.70%,1496,"$1,280","$1,048",2.6,31.5%,40,1733,"$168,600","$5,448",31
New Gisborne,VIC,3438,,,,,,"$844,000",,5.50%,N/A,2.93%,N/A,-4.09%,N/A,18.04%,N/A,5.26%,N/A,$610,,118.8 days,118.8 days,3.76%,3.76%,1810,"$1,584","$1,254",2.9,28.3%,39,1842,"$168,800","$6,522",26
Forster,NSW,2428,https://www.realestate.com.au/nsw/forster-2428/,,219,"14,000",3.00%,"$845,000",,,,,,,,,,,,,,,,,,,"$1,059",$897,,,,,"$169,000","$4,665",36
Ventnor,VIC,3922,,,78,982,15.00%,"$845,000",,2.42%,N/A,4.97%,N/A,0.00%,N/A,51.57%,N/A,8.97%,N/A,$485,,107.1 days,107.1 days,2.98%,2.98%,903,"$1,079",$911,2.2,,51,1400,"$169,000","$4,736",36
Springvale South,VIC,3172,,,,,,"$845,000",,-0.06%,$0,2.42%,$0,1.72%,$0,19.43%,$0,5.29%,$0,$565,,60.6 days,60.6 days,3.48%,3.48%,1370,"$1,160",$966,3,32.8%,39,1733,"$169,000","$5,022",34
Alberton,SA,5014,https://www.smartpropertyinvestment.com.au/data/sa/5014/alberton,,,,,"$845,000",,13.42%,,20.71%,,25.88%,,89.89%,,9.69%,,$560,,51.3 days,,3.45%,,1085,"$1,201",$994,2.2,,42,1543,"$169,000","$5,167",33
Royal Park,SA,5014,https://www.smartpropertyinvestment.com.au/data/sa/5014/royal-park,,,,,"$845,000",,-1.74%,,18.18%,,46.64%,,96.51%,,9.11%,,$600,,56.3 days,,3.69%,,1085,"$1,201",$994,2.2,32.4%,42,1543,"$169,000","$5,167",33
North Gosford,NSW,2250,,,,,,"$845,000",,-0.59%,$0,-3.43%,$0,4.71%,$0,34.55%,$0,7.25%,$0,$623,,78.1 days,78.1 days,3.83%,3.83%,1366,"$1,332","$1,083",2.5,36.0%,41,1767,"$169,000","$5,630",30
